permno,start,ending,gvkey,sic,conm,ff12_num,ff12_name
89216,2016-05-03,2018-06-15,146017,3640,ACUITY INC,2,Durbl
89217,2015-07-09,2023-08-24,145977,5531,ADVANCE AUTO PARTS INC,9,Shops
89393,2010-12-20,2024-12-31,147579,7841,NETFLIX INC,12,Other
89508,2010-06-28,2024-12-31,064410,5500,CARMAX INC,9,Shops
89509,2014-06-23,2020-03-02,150699,1311,CIMAREX ENERGY CO,4,Enrgy
89525,2002-11-19,2024-12-31,003226,4841,COMCAST CORP,7,Telcm
89533,2008-11-14,2024-12-31,149318,7990,WYNN RESORTS LTD,12,Other
89641,2012-07-02,2024-12-31,150937,3572,SEAGATE TECHNOLOGY HOLDINGS,6,BusEq
89866,2016-05-23,2024-12-31,155394,5010,LKQ CORP,9,Shops
90215,2008-09-15,2024-12-31,157855,7372,SALESFORCE INC,6,BusEq
90319,2006-04-03,2024-12-31,160329,7370,ALPHABET INC,6,BusEq
90386,2011-09-26,2024-12-31,162129,2870,MOSAIC CO,5,Chems
90441,2004-12-20,2019-03-19,012886,4888,TWENTY-FIRST CENTURY FOX INC,7,Telcm
90805,2010-03-01,2022-04-08,164296,4841,WARNER BROS DISCOVERY INC,7,Telcm
90808,2007-10-02,2024-12-31,126296,4700,EXPEDIA GROUP INC,12,Other
90829,2008-08-27,2024-12-31,163946,2870,CF INDUSTRIES HOLDINGS INC,5,Chems
90979,2014-05-01,2022-06-17,165052,2300,UNDER ARMOUR INC,1,NoDur
91063,2006-01-03,2019-12-04,165675,4833,VIACOM INC,7,Telcm
91068,2011-04-28,2024-12-31,165914,5812,CHIPOTLE MEXICAN GRILL INC,9,Shops
91103,2015-09-03,2024-12-31,010795,4512,UNITED AIRLINES HOLDINGS INC,12,Other
91152,2016-06-03,2024-12-31,148349,3728,TRANSDIGM GROUP INC,3,Manuf
91233,2008-07-18,2024-12-31,160225,7389,MASTERCARD INC,12,Other
91416,2015-03-23,2021-12-17,175319,2300,HANESBRANDS INC,1,NoDur
91556,2009-12-21,2024-12-31,009248,5651,ROSS STORES INC,9,Shops
91926,2013-09-11,2024-12-31,003851,4512,DELTA AIR LINES INC,12,Other
92157,2011-10-17,2024-12-31,177267,3678,TE CONNECTIVITY PLC,6,BusEq
92239,2016-02-22,2021-01-20,177884,1311,CONCHO RESOURCES INC,4,Enrgy
92322,2016-04-18,2024-12-31,178704,5990,ULTA BEAUTY INC,9,Shops
92602,2008-03-31,2024-12-31,179621,2111,PHILIP MORRIS INTERNATIONAL,1,NoDur
92618,2008-10-07,2018-06-29,179700,2086,DR PEPPER SNAPPLE GROUP INC,1,NoDur
92709,2008-07-01,2018-03-06,180167,4833,SCRIPPS NETWORKS INTERACTIVE,7,Telcm
93002,2014-05-08,2024-12-31,180711,3674,BROADCOM INC,6,BusEq
93089,2015-10-08,2024-12-31,180652,8742,VERISK ANALYTICS INC,12,Other
93096,2012-12-03,2024-12-31,004016,5331,DOLLAR GENERAL CORP,9,Shops
